q_over_2pi,omega_branch_00_meV,omega_branch_01_meV,omega_branch_02_meV,omega_branch_03_meV,omega_branch_04_meV,omega_branch_05_meV,omega_branch_06_meV,omega_branch_07_meV,omega_branch_08_meV,omega_branch_09_meV,omega_branch_10_meV,omega_branch_11_meV,omega_branch_12_meV,omega_branch_13_meV,omega_branch_14_meV,omega_branch_15_meV,omega_branch_16_meV,omega_branch_17_meV,omega_branch_18_meV,omega_branch_19_meV,weight_branch_00,weight_branch_01,weight_branch_02,weight_branch_03,weight_branch_04,weight_branch_05,weight_branch_06,weight_branch_07,weight_branch_08,weight_branch_09,weight_branch_10,weight_branch_11,weight_branch_12,weight_branch_13,weight_branch_14,weight_branch_15,weight_branch_16,weight_branch_17,weight_branch_18,weight_branch_19
0.0,3.618033988850521,3.0075047751379955,3.0075047751379955,1.6549104982938148,1.6549104982938123,0.48859876907281785,0.4885987690728168,4.207749171048455e-06,4.2077410240836175e-06,2.12332275928474e-06,-2.1233227590637474e-06,-4.207741024622581e-06,-4.207749171160717e-06,-0.488598769072817,-0.4885987690728174,-1.6549104982938116,-1.6549104982938143,-3.007504775137996,-3.007504775138,-3.6180339888505197,5.199385559249013e-32,2.615075577137077e-32,8.49899562569555e-33,2.8827362538558142e-31,7.633713265613379e-32,3.3646023859371015e-31,7.445273996084438e-32,2.3992960664050774e-06,3.1972668115787944e-06,2.3510348445399226e-05,2.3510348448116495e-05,3.197251555435415e-06,2.3993348646196007e-06,2.755443604439293e-31,5.179484064967123e-31,5.009023440030946e-33,7.787541240739111e-32,5.614721092318521e-32,2.768903552262787e-32,1.9997636766342353e-32
0.010067114093959731,3.611374225919668,3.117203584266709,2.8898584172187096,1.7970472128090174,1.515124156387172,0.5774229892049397,0.4073018809166973,0.020052693876395404,0.014888073682365895,0.00868741868836965,-0.008687418688369322,-0.014888073682365775,-0.02005269387639524,-0.4073018809166966,-0.5774229892049353,-1.5151241563871634,-1.797047212809019,-2.889858417218715,-3.117203584266712,-3.6113742259196604,6.539797803517405e-32,9.459933790130597e-32,5.169572756820986e-32,4.1704903639019115e-32,7.373127166594169e-32,3.0068320278741917e-31,3.99508041840792e-31,0.011558241203272573,0.013077737909327496,0.09818248975672055,0.0981824897567211,0.013077737909326264,0.011558241203273874,2.556055853237826e-31,1.3490855298469634e-31,3.3602222919336413e-32,3.945642775594084e-32,4.5738227365181954e-32,1.7497754628570662e-32,5.047780313154246e-32
0.020134228187919462,3.591455311576765,3.2180155137056947,2.765257957370191,1.9405944508785182,1.3785679540174196,0.6736401904669539,0.33358269637697513,0.0457210591439671,0.02508709454386112,0.016838065652966593,-0.01683806565296635,-0.025087094543860777,-0.04572105914396705,-0.3335826963769756,-0.6736401904669521,-1.378567954017422,-1.940594450878524,-2.765257957370188,-3.2180155137057,-3.59145531157677,5.505824683425046e-32,1.3579820334468192e-31,1.115446158463584e-31,4.47790047102512e-32,8.626769266480056e-32,1.2052343941293833e-31,5.10497920665261e-31,0.02188361101974165,0.028116221955806365,0.2026237725041817,0.2026237725041822,0.028116221955805897,0.021883611019741615,3.0587715058745656e-31,1.0441719500237454e-31,4.823239838970502e-32,5.165701378849673e-32,1.4416959335697628e-31,2.5439914037453823e-32,8.741882389128516e-32
0.030201342281879196,3.558457605233396,3.30906678005496,2.634738989805303,2.0845613301621717,1.2460535918061417,0.7770289593547306,0.2674116792082352,0.07742570281646577,0.031091778312121007,0.023915478725118355,-0.02391547872511829,-0.031091778312121093,-0.07742570281646581,-0.267411679208235,-0.7770289593547298,-1.246053591806139,-2.084561330162174,-2.634738989805319,-3.3090667800549745,-3.5584576052334094,7.121869287150464e-33,3.316769079591067e-31,9.470316446311565e-32,7.79656954659886e-32,1.3319665272569922e-31,3.121760675847794e-31,9.848387741007877e-31,0.03116951639359298,0.04582587832314654,0.32097452926783265,0.3209745292678342,0.04582587832314634,0.031169516393593343,5.990788260269778e-31,1.929457401233376e-32,9.543017865495371e-32,1.0897560096604176e-31,4.022492995630316e-32,2.3532301472652977e-32,1.8634521653954473e-32
0.040268456375838924,3.512679170899633,3.3895598732350196,2.4993669261778138,2.2279159342301456,1.1183178796115094,0.8872788355044322,0.20868431374689692,0.11555041588008443,0.033411272073854116,0.029383985170803078,-0.029383985170802963,-0.033411272073853936,-0.11555041588008433,-0.20868431374689617,-0.8872788355044335,-1.1183178796115056,-2.227915934230145,-2.499366926177809,-3.389559873235015,-3.512679170899634,6.0185148809633e-32,4.074438097130271e-32,2.4822056227839934e-32,2.936274163353009e-32,5.346747140440186e-32,9.072199514213589e-32,1.9919318978024226e-30,0.039551061269290415,0.06741658841000002,0.46437646331253285,0.46437646331253474,0.06741658840999987,0.03955106126929012,5.561547555396948e-31,1.7220122846430838e-31,4.0194103141299736e-32,2.5574817242043145e-32,1.4369159612891602e-32,6.628108373161404e-32,6.279933620912237e-32
0.050335570469798654,3.458783417776532,3.4545320145583807,2.369596130581997,2.3602244844631013,1.0039895167379698,0.9960171458944002,0.16043551097070963,0.15722674309098655,0.03270951897202273,0.03256515722550837,-0.03256515722550842,-0.03270951897202283,-0.15722674309098636,-0.16043551097070974,-0.9960171458944025,-1.003989516737971,-2.3602244844630955,-2.3695961305819897,-3.454532014558387,-3.4587834177765444,1.7909294590977188e-32,6.704245133249997e-32,6.277259898722073e-32,2.552240393801514e-32,2.2384248030331997e-32,1.0504763582214254e-31,0.04712586094258623,1.9544745964391293e-28,0.6516672182457208,0.09510775635507807,0.09510775635507833,0.6516672182457194,1.515676627899708e-27,0.0471258609425865,6.379652901147989e-32,1.2713797801217792e-32,2.476393725337873e-32,1.309421624773074e-31,9.444625847217705e-32,7.631122930798062e-32
0.06040268456375839,3.516121023119597,3.384536895615459,2.5085210609797723,2.218399178146936,1.1266713204567036,0.8797229326208627,0.212371025074531,0.11280195605637885,0.03336091699527528,0.029080192700579068,-0.029080192700579155,-0.03336091699527534,-0.11280195605637883,-0.21237102507453112,-0.8797229326208637,-1.126671320456699,-2.218399178146933,-2.5085210609797666,-3.3845368956154576,-3.5161210231195974,5.800672458651082e-32,2.8918557140351156e-32,8.948828190352392e-32,6.350963673052029e-32,1.6419219881740595e-31,1.3712993224618128e-31,0.053966925924944856,4.4844399488084324e-30,0.9196852080693526,0.13341588225490272,0.13341588225490172,0.9196852080693526,6.051036115613979e-31,0.05396692592494517,6.955907097102386e-32,2.2005288189570076e-31,6.649666267170352e-32,5.563689170257523e-32,1.1677345147065596e-31,5.897962814621797e-32
0.07046979865771812,3.561058991152935,3.3033167900430476,2.6436031450768085,2.074970985737147,1.2547469445900739,0.7699190039498655,0.27158996008902525,0.07511635229704963,0.030811812288532088,0.023487786923905886,-0.023487786923905712,-0.030811812288532067,-0.07511635229704978,-0.27158996008902436,-0.7699190039498676,-1.254746944590072,-2.074970985737148,-2.6436031450768014,-3.303316790043043,-3.5610589911529242,2.207714046521395e-32,2.093212267159438e-31,5.542671917643756e-32,1.420280445394537e-32,3.0673427033856633e-31,1.0033463978005564e-31,0.06013087992823142,1.548001660987684e-28,1.3544054168648132,0.19307478684008578,0.1930747868400854,1.354405416864807,1.1272038331706747e-29,0.060130879928231615,6.798557766367041e-32,1.8972542587293237e-31,4.674553851892971e-32,2.647619779731855e-32,3.479964658866883e-32,4.1892229112667474e-32
0.08053691275167785,3.5931927660076304,3.2115891028831074,2.7737604284548922,1.9310003761948842,1.3875545468902661,0.6669996727777211,0.3382617374749029,0.04382650972616197,0.024543209533472235,0.016322147353297713,-0.016322147353297414,-0.024543209533471815,-0.04382650972616186,-0.33826173747490274,-0.6669996727777215,-1.3875545468902706,-1.9310003761948802,-2.7737604284548887,-3.2115891028831065,-3.5931927660076264,1.6138031148119084e-31,3.9491606459843033e-32,6.668209237335017e-32,1.0522977800695666e-31,3.2662907489889904e-31,4.2244051758559365e-31,0.0656633253804205,6.314270990654596e-29,2.218475174263603,0.3071201284557079,0.30712012845570685,2.218475174263584,1.764901809279594e-28,0.0656633253804206,3.7934253057342176e-31,1.7597281722733437e-31,2.397883588851357e-31,5.361331140076293e-32,1.625886229074052e-32,6.420516991040019e-32
0.09060402684563758,3.6122320297307624,3.1101567462750386,2.8979290990888473,1.787516858599767,1.524352136875207,0.5712694247132308,0.4124860426617104,0.018545978167078234,0.014046791293688158,0.008119020274188513,-0.008119020274188347,-0.014046791293688405,-0.018545978167078387,-0.4124860426617104,-0.5712694247132297,-1.5243521368752078,-1.787516858599767,-2.8979290990888433,-3.110156746275045,-3.612232029730787,1.1623809974553415e-31,9.274799162684591e-32,4.5792840134319357e-32,2.0898781440532353e-31,2.029043594261518e-32,7.434680387234324e-31,0.07060240822954644,1.5737292582626512e-25,4.898324822125042,0.6503697590627574,0.6503697590627561,4.898324822125067,1.1264254722603284e-25,0.07060240822954629,1.728362858735083e-30,1.982360888379052e-31,9.7417985248036e-32,1.5103877044964815e-31,1.6785725796053845e-31,9.00204304772909e-32
